Testname: 384 white
Date: 12/9/2022  Time: 3:18:01 PM (UTC--8)
ID1: Plate 384 example  ID2:   ID3: 
No. of Channels / Multichromatics: 3
No. of Cycles: 1
Configuration: Fluorescence
Used filters (excitation/emission) and gain values:
  1: 485/520         1000
  2: 510/560         1300
  3: 570/610         1200
  4: -               
  5: -               
  6: -               
  7: -               
  8: -               

Chromatic: 1
Cycle: 1
   60097,    61807,    57282,    64149,    60888,    59928,    58362,    68948,    20073,    57134,    66687,    22927,    65719,    65428,    54744,    61203,    54907,    57638,    57462,    67393,    61333,    64573,    62777,    56765
   64812,    65536,    62673,    61148,    66715,    21161,    65280,    48885,    62202,    56728,    64168,    24296,    63840,    64950,    55844,    56284,    62237,    57774,    59786,    56347,    20599,    65925,    50380,    73940
   68230,    67189,    65921,    66877,    63936,    21896,    57084,    66927,    20448,    65528,    69844,    25173,    64136,    70218,    69558,    64494,    60813,    64940,    62395,    73538,    68374,    70698,    67292,    50558
   67232,    63592,    62886,    65155,    61412,    22228,    70553,    69043,    67780,    70438,    60947,    22494,    65192,    61095,    23336,    68844,    65239,    62364,    63412,    59555,    21821,    66372,    64432,    77408
   68443,    66599,    37891,    65043,    64742,    21187,    67483,    70592,    23514,    69088,    68989,    23422,    72429,    69954,    23078,    73451,    68928,    66320,    64040,    62536,    22754,    69973,    72095,    24912
   74279,    72571,    66526,    71385,    67932,    22180,    65720,    67031,    72958,    66694,    63534,    23685,    64246,    68223,    22647,    70124,    70028,    22841,    66735,    64971,    23185,    68204,    76964,    84023

Chromatic: 3
Cycle: 1
   15790,    15587,    15699,    15371,    14397,    14247,    15210,    15355,    14680,    15332,    15176,    17707,    14904,    15588,    15885,    14951,    16071,    15569,    14684,    16766,    16163,    15144,    13899,    15073
   17280,    14211,    13374,    14209,    13356,    14623,    15383,    14411,    16060,    13277,    13808,    14467,    14121,    14184,    13148,    12671,    12579,    13194,    12830,    13884,    11815,    13304,    13056,    13756
   14184,    14172,    14119,    14008,    13321,    14021,    12962,    14778,    13527,    14730,    13277,    15667,    14168,    14266,    12025,    14478,    13830,    13969,    13500,    13917,    11699,    12380,    13816,    14584
   16984,    14322,    14482,    14353,    14022,    14769,    14976,    15277,    13537,    15167,    14296,    12724,    14656,    15205,    14372,    14019,    13920,    14445,    13782,    14764,    14116,    15145,    14196,    14789
   14293,    14803,    14028,    14072,    13437,    14324,    14075,    14845,    13078,    13499,    14244,    16233,    14672,    15604,    13060,    14056,    13140,    14083,    13021,    15511,    13534,    14698,    13432,    13671
   14176,    13676,    14074,    14189,    13664,    13072,    13553,    14927,    13325,    13231,    11259,    14840,    15017,    16050,    13474,    13518,    13350,    13515,    13684,    14595,    13336,    14944,    13512,    14606
   14578,    13406,    10699,    13920,    13528,    13567,    12697,    14864,    12892,    12921,    13667,    14388,    13750,    14792,    12464,    14502,    13471,    12959,    12820,    12573,    13625,    13762,    15282,    15545
   15741,    14985,    13964,    14351,    11800,     9891,    14368,    14538,    13177,    13041,    12327,    14693,    13375,    12888,    12612,    13645,    13609,    13091,    12948,    13780,    13045,    13686,    14573,    15295
   14902,    15568,    13492,    14118,    13184,    14254,    13520,    13908,    12931,    14032,    12812,    13992,    13177,    13160,    13384,    14416,    13423,    13502,    12712,    14304,    13385,    14991,    13351,    14753
   13277,    14570,    12213,    14523,    13893,    13556,    13680,    14970,    14102,    14323,    14086,    14788,    13379,    13892,    12962,    13667,    11656,    13005,    12062,    13342,    13623,    15362,    14089,    15546
   14020,    14392,    13912,    14839,    13879,    13946,    13476,    15888,    13868,    13373,    15285,    14799,    14881,    15155,    12753,    14312,    13523,    13552,    11840,    15702,    14368,    14952,    14132,    12250
   15440,    15311,    15100,    14902,    14989,    14587,    15352,    11377,    14768,    13622,    14956,    15857,    14976,    15167,    13343,    13662,    14668,    14127,    13534,    13608,    14032,    15708,    11998,    16687
   15847,    15613,    15263,    15557,    14523,    14864,    13265,    15316,    13923,    15358,    16036,    16052,    14639,    16000,    15489,    14728,    14290,    15164,    14696,    16664,    16056,    16255,    15480,    11447
   16203,    15851,    14722,    15593,    14556,    14960,    16428,    16006,    16122,    16012,    14461,    14828,    14858,    14768,    15801,    15799,    15488,    14972,    15162,    14604,    15268,    15984,    14987,    16990
   16046,    15710,    14624,    15288,    15186,    14920,    15559,    16230,    16062,    16112,    15364,    15496,    15774,    16239,    15928,    16924,    16144,    15604,    15139,    14331,    15939,    16548,    16781,    18131
   17577,    17421,    16128,    16927,    16104,    15752,    15431,    15856,    17140,    15812,    14772,    15483,    15136,    15808,    16018,    16548,    15846,    15891,    14932,    15413,    16636,    16065,    17423,    18076

